tenure_months,monthly_charges,support_calls,internet_service,contract_type,payment_method,tech_support,paperless_billing,senior_citizen,churn
36,63.63,1,DSL,One year,Electronic check,No,Yes,0,1
47,60.19,0,DSL,Month-to-month,Bank transfer,Yes,No,0,1
29,51.83,1,Fiber,One year,Electronic check,No,No,0,1
4,112.38,0,DSL,Month-to-month,Credit card,Yes,Yes,0,1
41,66.12,5,DSL,One year,Mailed check,Yes,Yes,0,1
2,67.34,3,Fiber,Two year,Bank transfer,Yes,No,0,1
20,52.28,0,None,Two year,Credit card,No,Yes,0,1
60,124.09,3,Fiber,Month-to-month,Electronic check,Yes,Yes,0,1
33,113.78,2,DSL,Month-to-month,Credit card,Yes,Yes,0,1
42,36.83,4,Fiber,Two year,Bank transfer,No,No,0,1
69,116.1,0,Fiber,Two year,Bank transfer,Yes,Yes,0,1
16,69.13,0,DSL,One year,Electronic check,Yes,Yes,0,1
61,38.02,3,Fiber,Month-to-month,Electronic check,No,Yes,0,1
54,120.11,6,None,Month-to-month,Electronic check,Yes,No,0,1
27,103.8,4,DSL,One year,Credit card,No,No,0,1
19,76.18,3,DSL,One year,Electronic check,Yes,Yes,0,1
20,81.3,1,None,One year,Electronic check,No,No,0,1
30,30.82,7,DSL,Month-to-month,Bank transfer,No,Yes,1,1
46,35.8,7,DSL,Month-to-month,Electronic check,No,Yes,0,1
33,60.99,7,Fiber,One year,Bank transfer,Yes,No,1,1
11,102.38,3,Fiber,Month-to-month,Credit card,No,Yes,0,1
68,104.65,7,Fiber,Month-to-month,Electronic check,No,Yes,0,1
28,74.53,2,None,Month-to-month,Bank transfer,No,No,1,1
64,96.37,2,DSL,Two year,Electronic check,Yes,No,0,1
14,83.55,2,Fiber,Month-to-month,Mailed check,Yes,Yes,1,1
20,25.48,0,Fiber,Two year,Mailed check,Yes,No,1,0
56,102.81,3,Fiber,Month-to-month,Credit card,No,Yes,0,1
20,98.98,0,DSL,Month-to-month,Bank transfer,No,Yes,0,1
64,60.05,0,Fiber,Month-to-month,Bank transfer,No,No,1,0
30,45.92,6,DSL,One year,Credit card,Yes,Yes,0,1
33,127.6,7,DSL,Month-to-month,Mailed check,No,No,0,1
1,58.16,4,DSL,One year,Electronic check,No,No,0,1
30,92.65,2,Fiber,Month-to-month,Credit card,No,No,1,1
22,49.29,7,Fiber,Month-to-month,Credit card,Yes,Yes,0,1
39,90.5,6,DSL,Two year,Bank transfer,Yes,Yes,1,1
68,21.85,2,None,Month-to-month,Electronic check,No,Yes,0,1
1,28.16,0,DSL,Month-to-month,Bank transfer,Yes,No,1,1
60,111.58,3,Fiber,Two year,Bank transfer,Yes,Yes,0,1
29,124.68,2,Fiber,Month-to-month,Mailed check,No,No,1,1
38,78.79,1,Fiber,One year,Bank transfer,Yes,No,1,1
34,43.36,4,Fiber,Two year,Mailed check,Yes,No,0,1
35,71.09,7,Fiber,Month-to-month,Mailed check,No,No,0,1
59,33.0,2,DSL,One year,Bank transfer,No,Yes,0,0
68,21.96,7,DSL,Month-to-month,Electronic check,No,No,1,1
71,119.25,6,DSL,Month-to-month,Mailed check,No,Yes,0,1
43,51.18,6,Fiber,Two year,Credit card,No,Yes,1,1
50,95.52,0,None,Month-to-month,Bank transfer,No,Yes,0,1
67,108.78,4,Fiber,One year,Electronic check,No,Yes,0,1
67,92.85,1,Fiber,Two year,Electronic check,Yes,Yes,0,1
71,56.17,0,Fiber,Month-to-month,Bank transfer,No,Yes,0,1
4,53.86,3,DSL,One year,Credit card,Yes,No,1,1
3,29.11,0,DSL,Month-to-month,Mailed check,Yes,No,0,1
