area_sqft,bedrooms,bathrooms,floors,house_age,distance_to_city_km,school_rating,crime_index,garage_spaces,neighborhood,condition,price
966,5,1,2,24,29.19,3.64,7.14,2,Suburban,Standard,215636.0
3397,3,3,2,23,21.2,8.45,2.81,0,Suburban,Standard,863193.0
2973,5,3,1,8,9.33,2.85,4.46,3,Urban,Standard,764816.0
2208,4,3,2,31,26.35,6.92,2.32,0,Family,Renovated,589821.0
2187,4,2,3,27,3.87,7.97,5.97,3,Premium,Renovated,703980.0
3698,5,4,1,30,27.33,8.01,7.56,1,Suburban,Renovated,912293.0
955,3,2,1,18,21.06,3.52,4.19,1,Suburban,Standard,242663.0
3125,4,3,3,35,4.77,2.49,2.47,0,Urban,Standard,731720.0
1365,2,2,2,15,3.7,5.59,3.04,3,Urban,Renovated,511303.0
984,5,1,3,32,26.53,3.62,8.36,2,Premium,Standard,227854.0
2519,4,3,2,8,10.96,7.59,3.41,0,Suburban,Standard,736529.0
4113,4,1,3,9,31.24,4.85,7.97,0,Family,Standard,846826.0
3261,3,4,2,21,26.91,5.59,3.98,2,Premium,Standard,846385.0
3352,5,3,1,22,24.74,2.91,2.7,3,Premium,Standard,919133.0
3197,1,2,3,29,10.47,6.54,7.55,0,Family,Needs Work,655341.0
3440,1,2,2,11,25.1,3.48,5.22,0,Urban,Renovated,714870.0
2471,3,3,1,34,33.24,7.43,1.28,2,Premium,Renovated,687679.0
1104,4,2,2,13,4.11,2.57,9.64,0,Premium,Renovated,360759.0
3631,5,2,2,21,12.09,9.81,2.33,1,Suburban,Standard,984346.0
2248,3,2,1,37,8.98,7.48,4.18,0,Urban,Needs Work,491911.0
2426,4,2,3,21,14.37,3.45,4.46,1,Urban,Standard,586629.0
1966,3,4,1,27,26.24,2.11,5.4,2,Urban,Renovated,412530.0
1298,5,1,1,36,17.12,4.68,8.07,1,Suburban,Standard,242737.0
3940,4,4,2,38,20.4,3.22,1.05,1,Urban,Renovated,922068.0
3424,3,2,3,19,11.68,3.75,9.39,1,Premium,Standard,782958.0
2935,5,3,3,16,5.8,8.98,6.81,2,Urban,Standard,839484.0
2078,1,1,3,7,10.08,6.83,9.56,0,Urban,Renovated,457310.0
3570,5,2,1,21,30.23,3.41,8.36,0,Suburban,Standard,713762.0
2586,1,4,3,36,21.48,6.45,9.35,0,Urban,Renovated,577969.0
2224,2,2,3,19,13.85,4.05,6.41,3,Family,Standard,515153.0
2249,5,1,2,13,27.86,9.81,4.22,2,Suburban,Needs Work,540767.0
1456,4,3,2,4,3.19,2.26,4.99,0,Urban,Needs Work,433146.0
977,5,1,1,15,9.63,7.86,6.92,1,Urban,Renovated,310237.0
2618,4,2,3,9,8.82,8.18,4.84,1,Suburban,Standard,727557.0
3802,4,2,3,39,34.5,2.54,7.59,0,Premium,Renovated,828933.0
876,2,3,2,21,25.01,3.37,1.83,3,Family,Renovated,300241.0
3696,1,3,2,5,22.0,5.07,8.47,3,Suburban,Standard,847505.0
3588,1,3,2,2,1.17,8.95,2.84,0,Premium,Renovated,1027944.0
1632,2,4,1,34,7.27,6.3,9.5,0,Suburban,Renovated,428762.0
2892,1,1,2,37,22.61,7.24,2.4,1,Family,Standard,623832.0
1236,3,2,3,30,13.91,8.26,2.16,2,Suburban,Renovated,461610.0
3341,4,1,3,4,32.43,8.62,8.31,3,Suburban,Standard,761391.0
3136,5,1,3,3,27.0,5.81,8.37,1,Premium,Standard,835324.0
1908,3,1,2,7,16.21,6.07,7.65,1,Family,Standard,441465.0
891,5,3,3,30,26.48,7.74,9.64,0,Suburban,Renovated,285142.0
4095,5,4,2,30,34.16,4.11,3.43,0,Family,Needs Work,851047.0
2232,5,4,2,33,16.67,8.84,8.44,0,Family,Standard,551302.0
3820,3,3,2,3,22.85,2.17,4.17,1,Urban,Standard,826196.0
3056,2,4,3,6,32.23,3.57,5.84,2,Family,Needs Work,640194.0
3413,5,1,3,36,9.45,8.4,5.01,0,Premium,Renovated,919844.0
3347,2,4,1,37,31.14,4.72,1.05,0,Suburban,Renovated,747390.0
1340,3,4,1,29,4.32,3.2,6.17,3,Suburban,Needs Work,378628.0
1941,1,1,2,4,23.05,3.49,7.73,3,Family,Standard,387112.0
2306,4,2,2,2,27.62,6.25,2.57,2,Premium,Renovated,682079.0
2417,4,4,3,2,21.9,8.77,9.38,2,Suburban,Standard,661431.0
805,1,2,2,27,17.85,2.57,5.77,2,Urban,Needs Work,137959.0
2590,2,4,2,33,21.99,2.24,2.6,1,Suburban,Renovated,626915.0
1197,3,4,3,25,6.16,5.72,6.81,0,Family,Renovated,400872.0
3288,3,2,2,10,8.33,9.65,2.73,1,Premium,Standard,908573.0
3074,5,1,2,30,10.18,4.23,1.57,2,Urban,Standard,707162.0
3924,2,2,2,2,21.32,9.67,7.17,2,Family,Renovated,938848.0
3293,5,1,2,33,16.02,9.1,2.0,2,Family,Standard,865624.0
1951,3,2,3,35,9.31,4.27,1.96,2,Suburban,Standard,531385.0
4084,5,3,3,28,31.02,8.54,7.66,0,Urban,Renovated,923009.0
2108,2,2,2,35,13.71,7.49,1.5,2,Suburban,Standard,544303.0
1806,1,1,2,23,16.17,6.09,8.29,3,Urban,Standard,356890.0
3864,1,2,2,18,14.93,5.38,8.17,2,Suburban,Standard,829722.0
1965,2,3,1,12,7.19,8.52,2.27,2,Premium,Standard,671860.0
921,5,1,2,36,25.88,8.34,5.67,0,Family,Standard,231540.0
2316,1,1,1,27,16.25,8.06,1.87,3,Suburban,Standard,630864.0
3474,2,4,1,7,1.55,9.99,6.69,1,Family,Standard,956018.0
1322,1,1,1,38,33.78,5.83,1.57,1,Family,Renovated,308926.0
2293,5,2,2,2,28.74,8.46,9.5,1,Urban,Standard,567648.0
1111,4,1,1,23,25.6,8.9,2.87,0,Urban,Needs Work,252142.0
3086,4,1,2,7,30.55,3.69,7.15,3,Premium,Standard,749693.0
2338,4,2,2,26,31.83,2.34,2.15,2,Family,Standard,503014.0
1822,4,3,2,16,12.47,5.24,2.89,1,Suburban,Renovated,605256.0
1455,4,1,3,17,21.77,8.85,5.06,3,Premium,Standard,505731.0
2653,1,1,2,26,21.7,4.31,6.16,0,Premium,Standard,595540.0
3027,5,1,3,30,10.09,7.6,9.99,1,Premium,Renovated,814158.0
3988,4,3,3,15,8.55,2.06,1.23,2,Premium,Needs Work,1063773.0
2201,4,4,1,39,4.87,4.84,1.0,0,Urban,Standard,544984.0
1220,2,1,1,19,23.42,6.92,4.15,2,Urban,Renovated,361096.0
3606,5,2,2,6,27.55,3.04,4.3,3,Urban,Standard,815059.0
2885,2,2,3,0,26.87,9.17,8.95,2,Family,Renovated,689774.0
3135,1,2,1,8,11.75,3.25,9.21,0,Family,Renovated,668042.0
995,5,1,1,27,7.98,9.28,8.92,2,Family,Renovated,308904.0
1758,2,1,3,21,16.42,3.73,2.29,1,Urban,Needs Work,386810.0
3375,1,3,3,13,19.59,9.95,4.71,2,Suburban,Renovated,865047.0
3604,4,2,1,19,32.25,6.84,7.71,2,Urban,Standard,771618.0
2195,2,2,2,33,30.74,2.67,3.81,0,Suburban,Standard,455938.0
3506,5,2,2,22,32.15,2.52,6.97,0,Suburban,Renovated,744998.0
3638,3,4,1,2,29.91,2.6,3.13,0,Family,Standard,815452.0
2025,1,3,1,1,33.8,6.72,3.91,0,Urban,Renovated,453612.0
3838,5,2,2,19,16.83,8.48,8.74,1,Premium,Standard,966888.0
1673,3,1,2,16,2.61,5.22,3.25,0,Family,Standard,524121.0
1500,2,4,1,34,3.84,5.56,9.68,3,Premium,Standard,478230.0
3072,4,4,2,23,14.27,6.71,3.76,3,Urban,Renovated,820361.0
2910,3,1,1,30,9.76,6.26,1.21,0,Family,Standard,679970.0
1146,1,4,3,23,6.78,7.5,3.29,1,Premium,Needs Work,431464.0
3606,4,3,1,13,33.41,5.77,2.54,2,Suburban,Needs Work,826814.0
1359,3,1,1,26,7.64,7.71,5.56,2,Premium,Renovated,468585.0
3507,4,4,1,24,33.62,9.98,2.01,2,Family,Standard,891942.0
676,5,1,3,28,26.87,4.8,6.63,3,Suburban,Standard,165364.0
3478,4,1,3,7,22.79,2.1,8.87,2,Suburban,Standard,725940.0
3443,4,1,2,25,23.98,3.01,4.26,2,Suburban,Standard,761232.0
3420,2,2,1,11,12.27,6.43,2.52,2,Urban,Standard,790723.0
3010,2,3,3,31,22.98,4.75,4.6,2,Family,Standard,698118.0
2324,3,2,2,31,7.35,9.52,8.07,1,Urban,Renovated,607306.0
3153,5,1,3,24,32.88,7.02,6.32,2,Suburban,Renovated,706244.0
