advertising_spend,store_visits,discount_pct,holiday_flag,competitor_price_index,season,sales
3407.75,271,17.5,0,0.949,Spring,15715.91
4968.3,552,17.64,0,1.175,Spring,25766.24
4353.5,171,29.19,0,0.802,Winter,15681.09
5708.69,839,34.67,0,1.165,Spring,28972.31
5393.73,1133,9.7,0,0.899,Autumn,34927.18
6973.38,545,4.47,0,0.805,Winter,25327.04
4923.82,824,0.32,0,0.93,Winter,20284.83
4459.8,479,13.08,0,0.895,Spring,17799.01
6287.9,110,8.22,0,1.162,Autumn,18023.43
2079.06,1160,24.24,0,0.906,Winter,35786.9
1288.07,381,12.18,0,1.066,Winter,5604.41
1141.36,1044,3.23,0,1.083,Autumn,25370.15
4064.99,487,21.23,0,1.138,Autumn,15747.23
3325.86,589,21.15,1,0.858,Autumn,24827.13
1847.36,704,3.8,0,1.064,Spring,17621.06
3116.51,925,15.22,0,0.845,Winter,27481.39
5518.04,965,3.06,0,0.985,Spring,23303.34
5824.88,394,17.0,0,0.882,Spring,22720.47
6049.82,976,13.51,1,1.047,Spring,30912.85
2786.89,476,17.75,0,1.184,Spring,16386.49
656.13,1051,25.33,0,1.088,Autumn,32033.02
6215.2,1179,3.45,0,1.099,Autumn,32580.82
5348.63,549,2.16,0,1.019,Spring,18566.81
3981.49,142,3.3,0,0.872,Spring,8979.79
3356.99,1096,27.64,0,1.077,Summer,28650.12
5792.08,1005,20.61,0,1.141,Spring,27227.1
7139.87,441,22.57,1,1.129,Winter,30035.73
1649.67,453,5.25,1,1.117,Autumn,11937.67
2381.63,954,24.83,0,1.165,Spring,24030.31
3117.1,1042,9.85,1,0.947,Winter,30092.46
7638.38,356,19.92,0,1.02,Winter,25485.39
1041.87,1018,34.75,1,1.157,Autumn,32739.23
3978.78,293,28.45,1,0.946,Spring,18044.83
2632.9,822,11.25,0,0.885,Autumn,14765.07
6917.57,501,28.77,0,1.0,Winter,20584.99
7298.05,686,34.59,0,1.023,Spring,32432.38
7092.96,891,34.14,0,1.171,Spring,32921.9
3667.4,480,24.08,0,0.911,Autumn,20094.33
1182.24,377,19.8,0,1.05,Winter,7056.7
4921.35,456,0.73,0,0.864,Summer,13892.04
5047.49,215,24.86,0,0.92,Autumn,20164.27
2616.74,295,12.2,0,1.078,Spring,10638.23
1401.29,226,31.26,0,1.121,Spring,3985.8
3049.55,918,9.36,0,0.962,Winter,19333.15
945.69,1041,6.13,1,1.077,Winter,35145.74
7915.93,970,5.34,1,0.978,Autumn,39987.37
692.89,1146,17.01,0,1.143,Summer,26937.55
3369.85,358,30.56,0,1.194,Winter,20729.41
5018.59,618,22.79,0,1.068,Winter,23449.61
1887.13,1141,13.99,0,0.86,Autumn,24107.82
3293.81,555,8.33,0,1.082,Spring,12495.16
7680.85,819,24.32,0,0.909,Summer,38514.44
4983.48,258,30.23,0,0.897,Summer,22402.14
7933.42,317,15.56,0,1.132,Summer,18117.7
7582.26,444,21.67,1,0.801,Winter,24965.17
6582.94,734,24.56,0,0.97,Summer,31368.1
588.93,672,11.64,1,1.03,Winter,25927.59
1470.32,1180,24.5,0,0.907,Winter,25186.31
2526.69,554,0.24,0,0.933,Winter,6149.1
3576.87,1114,11.78,0,1.041,Spring,28448.9
7373.39,1105,0.65,0,1.092,Winter,35971.13
5673.46,912,34.48,0,1.085,Summer,35736.98
4853.01,868,5.07,0,1.15,Summer,19642.07
2036.9,867,5.8,0,1.037,Summer,19979.97
5781.2,467,25.72,0,0.964,Winter,23102.6
732.15,842,13.99,0,1.12,Spring,18598.39
5513.2,560,8.46,0,0.944,Autumn,22260.68
4882.48,218,27.67,0,0.902,Autumn,14789.34
979.96,880,22.12,0,0.871,Winter,17656.86
6467.57,630,23.72,0,0.817,Summer,30997.85
2164.26,395,31.49,0,1.106,Winter,21285.09
4131.8,148,4.11,0,0.989,Autumn,10085.31
1008.59,378,8.58,0,0.861,Autumn,6327.69
1195.81,631,31.99,0,0.861,Summer,18448.36
4878.69,1080,19.65,0,1.194,Autumn,24745.89
3922.43,1052,22.36,0,1.121,Summer,29730.05
5137.01,531,27.15,0,0.839,Summer,28193.0
7895.3,377,29.38,0,0.849,Summer,31627.21
3910.93,220,6.92,0,0.847,Spring,9053.05
1480.83,186,3.48,0,0.985,Summer,9172.78
4252.2,812,21.45,0,1.15,Winter,28723.36
2936.47,984,4.43,1,1.034,Summer,25155.95
3393.89,176,27.18,0,1.141,Spring,14397.4
7200.42,854,22.55,0,1.142,Summer,28045.85
789.26,520,1.84,0,1.042,Winter,8902.09
3019.48,405,14.78,0,0.99,Autumn,16489.62
3934.84,1046,29.54,0,1.165,Spring,22698.09
5744.56,1056,34.08,0,0.998,Winter,32554.98
2944.53,107,20.59,0,0.85,Winter,10495.85
3964.8,305,32.8,0,0.942,Winter,21445.75
5479.89,1108,19.74,1,1.162,Autumn,39029.35
7787.16,853,2.34,0,0.863,Autumn,26965.08
2345.37,80,9.12,0,0.955,Spring,9629.12
5946.79,965,3.51,0,1.168,Summer,25309.88
7124.37,407,8.01,0,0.977,Winter,26693.21
7430.61,122,9.62,1,0.983,Spring,20013.36
6211.79,157,25.22,0,1.159,Summer,17694.13
805.7,427,2.17,0,1.041,Winter,9234.94
4549.71,170,2.93,0,1.113,Spring,7966.42
1402.01,275,14.0,0,1.077,Winter,8005.35
2935.3,1183,17.97,0,0.955,Autumn,30516.57
6840.71,1002,3.78,0,1.052,Summer,34613.55
3908.65,703,28.49,0,1.142,Spring,24708.62
6390.93,319,30.98,1,1.014,Summer,36124.76
701.2,655,17.04,0,0.928,Autumn,18533.56
3638.1,663,16.16,1,0.943,Autumn,19796.83
5271.33,796,19.97,0,1.186,Summer,24300.25
6557.7,112,5.04,1,0.972,Autumn,14637.26
7034.01,200,3.02,0,0.925,Spring,9960.43
5296.58,378,26.02,0,0.907,Autumn,20331.02
6852.5,281,23.67,0,0.939,Autumn,25020.97
2415.79,1135,27.61,0,1.18,Summer,34215.92
6108.5,222,6.95,0,0.95,Summer,13728.8
2880.75,861,2.18,0,1.12,Autumn,16830.67
3243.99,428,33.58,0,0.833,Autumn,17180.09
3236.47,90,11.29,0,1.025,Winter,3445.49
4514.13,172,12.73,0,0.877,Spring,12453.63
6421.55,1120,34.07,0,0.969,Summer,44203.68
6686.45,739,1.78,0,0.896,Summer,29499.53
1390.9,816,10.71,0,1.012,Summer,22856.88
3470.46,429,20.71,0,0.852,Spring,17673.85
1053.67,1091,11.83,0,0.924,Spring,23560.62
4862.99,317,33.45,1,0.899,Spring,26640.59
950.0,1059,1.26,0,0.928,Summer,16519.9
6494.12,376,27.32,0,0.917,Autumn,26121.94
2197.98,917,20.85,0,0.882,Spring,25927.68
4529.15,759,1.25,0,1.185,Winter,15659.01
5264.65,1087,25.08,0,0.873,Spring,32314.1
2217.04,1125,26.75,0,1.151,Winter,22054.63
7600.36,1017,33.57,0,0.852,Summer,42953.88
1285.3,274,1.2,0,0.905,Autumn,8353.49
2783.72,747,14.8,0,1.011,Spring,21044.3
5876.04,1010,33.34,0,1.025,Summer,39807.66
1757.01,846,27.91,0,1.008,Winter,17139.01
3365.0,566,32.82,0,1.067,Autumn,19266.41
1458.8,167,5.99,1,0.949,Autumn,8853.02
5226.82,996,13.11,0,0.845,Spring,28892.64
502.21,310,25.84,0,0.968,Autumn,5966.63
1782.87,169,10.54,0,0.866,Summer,10240.87
7251.46,645,11.38,0,0.964,Winter,18917.31
5792.62,851,19.68,1,1.018,Autumn,34491.92
